l1_pt,l1_eta,l1_phi,l1_energy,l2_pt,l2_eta,l2_phi,l2_energy,l3_pt,l3_eta,l3_phi,l3_energy,l4_pt,l4_eta,l4_phi,l4_energy,n
150.15198,0.6982022,2.9191513,188.2616,106.67923,-0.11609161,-0.30663326,107.3989,55.117672,1.0605462,-0.5709447,89.13118,28.908804,0.015538599,1.6270784,28.9123,0.020118152413358452
71.70848,1.3284187,2.9397876,144.8499,60.679478,-1.0127091,0.8543614,94.54721,35.08677,0.14846992,-0.8530008,35.47419,34.492596,0.623565,-1.3567262,41.41866,0.013674794066522111
67.48964,1.5577269,1.028626,167.3281,63.213665,0.47977206,-1.7352638,70.62959,33.230755,0.15867503,2.1142943,33.64997,24.980099,2.427119,-1.8669344,142.5676,0.007624028417141317
54.081306,1.2271371,2.6408727,100.1742,47.975746,0.8567077,-0.6288951,66.6851,29.772396,0.13499653,-0.0613032,30.0441,21.46334,-0.9118392,2.950162,31.02183,0.01514628438437725
34.924965,1.6521565,0.8962578,94.46954,34.70067,0.25333917,-2.1504757,35.82019,28.87373,-0.19538277,-2.883819,29.42661,26.718666,2.248962,0.34819305,128.0279,0.05800137067245816
57.171616,1.0800432,-2.5569272,93.88687,50.082943,0.9979579,2.3724518,77.16199,43.90251,1.5191329,-0.10660903,105.0843,40.031193,0.95449036,0.03478314,59.69361,0.023721622209029816
75.77544,-1.6226641,2.066338,199.4388,55.433487,0.19555801,-0.13240828,56.49684,38.161415,-1.6831224,-2.087421,106.2438,26.161154,-1.5765108,-1.5733447,65.98811,0.040985321228150094
38.503735,-1.4126823,2.6534784,83.75421,36.49995,0.10054758,0.4486744,36.68461,34.059822,0.594483,-1.9680586,40.25772,14.511348,-2.1706939,-0.171885,64.41922,0.003972974644539657
48.01309,-0.8938493,-2.9564238,68.50506,47.01515,-1.3814688,0.4230621,99.48295,38.54056,-0.1830637,0.2237579,39.18815,38.309437,-2.0725822,-2.6222174,154.601,0.02285372205752536
57.37931,-0.24584256,-1.3687421,59.12203,56.881794,-0.37761402,1.852372,60.98567,36.01071,-0.28907487,1.7622262,37.52582,35.57266,-0.7956217,-1.2522107,47.43826,0.017011181367741234
135.25322,0.43510348,-1.6379125,148.2592,121.49301,-1.8262177,1.2677418,387.0387,43.647354,-2.0700366,2.5774124,175.7089,10.62593,2.2494717,-0.42146695,50.94166,0.020021091923880616
96.92026,-0.5444507,-0.320555,111.6435,91.11895,0.11879365,2.6642175,91.76263,26.915,0.85859567,-1.6332487,37.46031,18.144276,-1.07957,2.1135335,29.78524,0.0111091118804152
59.59859,-0.68037975,-2.216657,73.9336,53.94317,-1.1585345,-0.52915084,94.37919,38.60797,-0.20052847,1.741064,39.38682,37.008892,-1.3468188,1.683227,75.96519,0.011597173766130744
46.88931,0.5140658,0.8357734,53.22253,45.740147,-1.2677627,-0.84061223,87.69198,38.04776,-0.17751515,2.5880215,38.64881,36.114033,-0.39476088,-2.530962,38.96471,0.029285917318445046
180.18636,-0.0006339481,-0.24209131,180.1864,91.48261,-1.0178617,3.063196,143.108,89.27555,-0.07539108,2.8190477,89.52939,7.7905083,1.7024132,1.4496516,22.08382,0.015520460145829635
57.1433,-0.97110933,0.41322717,86.2731,42.082867,-1.9308723,-2.506873,148.1431,40.583485,-1.3265727,2.8439562,81.84658,22.630367,0.21927033,-0.4525473,23.17658,0.022645787046590163
81.876396,-0.37332824,1.8594245,87.6487,69.584496,-0.4214234,-1.5687014,75.85551,47.27424,-0.58711725,0.20022903,55.65888,29.530426,-1.2494917,-2.4728956,55.74192,0.042497226265096825
49.242252,0.4790099,-1.7663969,55.00043,48.17095,0.7526596,0.8879042,62.4717,40.262554,0.120765544,-2.476749,40.55651,37.38607,-0.23547387,1.2760679,38.42736,0.01707330817569517
240.928,-0.501521,0.45427713,271.8679,230.93198,-0.45562184,-2.5363276,255.3192,56.16357,-0.7693863,3.0064435,73.6231,34.244095,-1.4861019,0.55710846,79.55051,0.035248979754967956
53.468628,0.16584453,-0.7627947,54.20562,40.57015,0.20425582,2.8621755,41.4194,35.89407,0.4475074,0.4261262,39.54858,34.13364,2.1134694,2.8160079,143.3225,0.027736007825409838
93.09814,0.14238635,-2.8178387,94.04346,61.713528,-0.9938873,0.15310334,94.7874,52.481457,-2.0648775,1.3617172,210.2188,35.177685,-0.26629224,-1.0865452,36.43232,0.03803715027577343
53.750248,0.9753794,-0.26734704,81.41074,48.112637,0.8310016,2.6691442,65.70333,40.606586,0.46726304,-1.0272759,45.12075,40.39967,-0.54219145,2.4076502,46.48475,0.013722675311748962
106.05628,1.3931502,1.5849224,226.7382,70.54363,0.9775409,-2.4141061,107.0199,60.980713,0.43034425,-1.0302997,66.7151,23.81067,0.55476683,-0.29165354,27.56967,0.025408239613688478
65.34485,-0.48101822,-1.380693,73.05143,63.010345,-0.47568953,1.34064,70.2748,35.90508,-0.63790375,2.3429308,43.46146,22.965372,-1.7772064,-1.6436822,69.84257,0.047637225064912636
